cluster,scheduler,seed,arrival,phase,makespan,imbalance,epsilon,locality
skewed_8,HEFT,1,592.712913314333,burst,20.191329396481137,0.006616806579932462,0.0,0.3
skewed_8,HEFT,1,604.3168056351491,burst,16.7297313727654,0.008634412492527464,0.0,0.5555555555555556
skewed_8,HEFT,1,608.2427589315836,mr,20.80063772775668,0.003948065858189858,0.0,0.5
skewed_8,HEFT,1,626.9985087533674,mr,11.45632785852581,0.00410505806714394,0.0,0.3333333333333333
skewed_8,HEFT,1,627.8988596510487,mr,11.634007218563966,0.0022938101722712384,0.0,0.6666666666666666
skewed_8,HEFT,1,631.6610781305573,mr,10.0767663476272,0.005413393938317472,0.0,0.75
skewed_8,HEFT,1,633.8295884688899,mr,12.699728688943082,0.004266697809959608,0.0,0.5555555555555556
skewed_8,HEFT,1,637.6804547732984,mr,10.14974662061718,0.0029791332042076912,0.0,0.25
skewed_8,HEFT,1,639.2233554466878,mr,8.866900254146344,0.0024413923648093677,0.0,0.4444444444444444
skewed_8,HEFT,1,645.0984011560851,mr,7.344546566697886,0.003058183794482544,0.0,0.3333333333333333
skewed_8,HEFT,1,648.0420094075467,mr,8.813052331767608,0.0034749418562934923,0.0,0.6666666666666666
skewed_8,HEFT,1,662.1179132111467,mr,4.064792016373417,0.002237869522861133,0.0,0.6666666666666666
skewed_8,HEFT,1,667.7336692205542,mr,4.979206447331308,0.0021033642098878614,0.0,0.42857142857142855
skewed_8,HEFT,1,672.3596052495283,mr,10.14405308801281,0.0040264847763036545,0.0,0.4
skewed_8,HEFT,1,674.9669421112076,mr,7.821675637904946,0.0018972963051320834,0.0,0.7272727272727273
skewed_8,HEFT,1,680.1335961814996,mr,7.4186188027240405,0.0020612243766973256,0.0,0.5714285714285714
skewed_8,HEFT,1,680.9337149982318,mr,9.522155853705499,0.004816471562531366,0.0,0.42857142857142855
skewed_8,HEFT,1,687.6625093279575,mr,9.988135968925349,0.003283750278023194,0.0,0.6666666666666666
skewed_8,HEFT,1,689.1408001361905,mr,14.385083875549867,0.0047355357208829565,0.0,0.5454545454545454
skewed_8,HEFT,1,697.4424205589062,mr,9.761927484848911,0.0029461626445981964,0.0,0.5714285714285714
skewed_8,HEFT,1,704.8101199200481,mr,8.118108099253618,0.00196109320945482,0.0,0.36363636363636365
skewed_8,HEFT,1,708.5094433067006,mr,7.491336794625909,0.0024008247161479332,0.0,0.6111111111111112
skewed_8,HEFT,1,716.5249099763913,mr,11.00422608428255,0.006150919856454592,0.0,0.5555555555555556
skewed_8,HEFT,1,739.2674460312743,mr,6.204332021557775,0.00814166312663052,0.0,0.5555555555555556
skewed_8,HEFT,1,749.3270925188037,mr,5.221248449536915,0.012197785548935206,0.0,0.7142857142857143
skewed_8,HEFT,1,760.5881753400641,mr,6.560996269871566,0.019761021421325638,0.0,0.6
skewed_8,HEFT,1,764.1186200270017,mr,7.498373142670857,0.022053052396434344,0.0,0.6
skewed_8,HEFT,1,768.5366303353724,mr,7.181679909321701,0.024670760228614124,0.0,0.5
skewed_8,HEFT,1,774.4909709818825,mr,3.7524127422528863,0.026176910840631767,0.0,0.6666666666666666
skewed_8,HEFT,1,775.6862553892065,mr,7.3511118373025965,0.027913843795014145,0.0,0.5714285714285714
skewed_8,HEFT,1,782.4230940329466,mr,5.167446002472843,0.029431085803529582,0.0,0.7142857142857143
skewed_8,HEFT,1,796.901618664032,mr,4.668612582480364,0.03683337100790409,0.0,0.6666666666666666
skewed_8,HEFT,1,801.6779822868573,mr,7.180765193173102,0.040257752138585214,0.0,0.6666666666666666
skewed_8,HEFT,1,807.9496712418162,mr,4.390786249524922,0.04256335749497508,0.0,0.625
skewed_8,HEFT,1,818.3466166541726,mr,9.500570258465814,0.050063580865073475,0.0,0.625
skewed_8,HEFT,1,840.4691249241513,mr,3.822899172467828,0.058019398167689334,0.0,0.7
skewed_8,HEFT,1,843.9035632871318,mr,7.510328445375762,0.05989684241325522,0.0,0.9090909090909091
skewed_8,HEFT,1,854.1637977069333,mr,4.030546579675729,0.06456421330430426,0.0,0.6666666666666666
skewed_8,HEFT,1,858.071968941704,mr,7.357947813360624,0.0672237448467719,0.0,0.7142857142857143
skewed_8,HEFT,1,862.172368801492,mr,5.380818394664743,0.07069523154530098,0.0,0.5714285714285714
skewed_8,HEFT,1,865.1589775814797,mr,7.951954796950304,0.07225277025028291,0.0,0.6666666666666666
skewed_8,HEFT,1,872.7844092664135,mr,3.454550857607728,0.07395452811425852,0.0,0.6666666666666666
